key,English,Assamese,Bengali,Bhojpuri,Gujarati,Haryanvi,Hindi,Kannada,Malayalam,Marathi,Telugu,Odia,Punjabi,Rajasthani,Tamil,Urdu,
report_comment,Report this comment,এই কমেণ্টটোত ৰিপোৰ্ট কৰক,কমেন্ট রিপোর্ট করুন ,इ कमेंट्स के रिपोर्ट करीं,આ કમેન્ટને રિપોર્ટ કરો,इस कमेंट्स की रिपोर्ट करो,इस कमेंट्स की रिपोर्ट करें,ಈ ಕಾಮೆಂಟ್ ಅನ್ನು ರಿಪೋರ್ಟ್ ಮಾಡಿ,ഈ കമന്റ് റിപ്പോർട്ട് ചെയ്യൂ,ह्या कमेंटला रिपोर्ट करा,ఈ కామెంట్​ను రిపోర్ట్​ చేేయండి,ଏହି କମେଣ୍ଟ ରିପୋର୍ଟ କରନ୍ତୁ,ਇਸ ਕਮੈਂਟ ਦੀ ਰਿਪੋਰਟ ਕਰੋ,इ कमेंट री रिपोर्ट करो ,இந்த கமெண்டை புகாரளி ,اس کمنٹ کو رپورٹ کریں,
delete,Delete,ডিলিট ,ডিলিট ,डिलीट,ડિલીટ,डिलीट,डिलीट,ಡಿಲೀಟ್,ഡിലീറ്റ് ,डिलीट,డిలీట్​,ଡିଲିଟ,ਡਿਲੀਟ,डिलीट ,நீக்கவும் ,ڈیلیٹ کریں,
block,Block,ব্লক,ব্লক ,ब्लॉक,બ્લોક,ब्लॉक,ब्लॉक,ಬ್ಲಾಕ್,ബ്ലോക്ക് ,ब्लॉक,బ్లాక్​,ବ୍ଲକ୍,ਬਲਾਕ,ब्लॉक ,தடை செய் , بلاک کریں,
request_sent,Request Sent,ৰিকুৱেষ্ট চেণ্ড কৰক,রিক্যুয়েস্ট সেন্ড করুন ,रिक्वेस्ट भेज दिहल गइल बा,રિક્વેસ્ટ મોકલી,रिक्वेस्ट भेज दी गई सै,रिक्वेस्ट भेज दी गई है,ರಿಕ್ವೆಸ್ಟ್ ಕಳುಹಿಸಲಾಗಿದೆ,റിക്വസ്റ്റ് അയച്ചു,रिक्वेस्ट पाठवली आहे,రిక్వెస్ట్ పంపించబడింది,ରିକ୍ବେଷ୍ଟ ପଠାଯାଇଛି,ਰਿਕੁਐਸਟ ਭੇਜੀ ਗਈ,रिक्वेस्ट भेज दी गई है ,வேண்டுகோள் அனுப்பப்பட்டது,ریکویسٹ بھیج دی گئی ہے,
content_description_error,Error,,এরর ,एरर,એરર,एरर,एरर,ಎರರ್,എറർ ,एरर,ఎర్రర్​,ତ୍ରୁଟି,ਐਰਰ ,एरर   ,பிழை,ایرر,
update_app_cta,Update App,এপ আপডেট কৰক,অ্যাপ আপডেট করুন ,ऐप अपडेट करीं,એપ અપડેટ કરો,ऐप अपडेट करो,ऐप अपडेट करें,ಆ್ಯಪ್ ಅಪ್​ಡೇಟ್ ಮಾಡಿ,ആപ് അപ്‌ഡേറ്റ് ചെയ്യൂ,ॲप अपडेट करा,యాప్ అప్​డేట్ చేయండి,ଆପ୍ ଅପଡେଟ୍ କରନ୍ତୁ,ਐਪ ਅੱਪਡੇਟ ਕਰੋ,ऐप अपडेट करों    ,ஆப் அப்டேட் செய்யவும்  ,ایپ کو اپ ڈیٹ کریں,
all_undo,Undo,ঘূৰাই আনক,করবেন না ,पहिले के स्थिति में जाईं,પાછું લાવો,पिछली स्थिति में वापस जाओ,पहले की स्थिति में वापस जाएं ,,Undo,मागील स्थितीवर परत जा,తిరిగిపొందండి,ଅନ୍‌ଡୁ କରନ୍ତୁ,ਵਾਪਿਸ/Undo ,Undo,Undo ,اَن ڈو,
vg_total_spent,%s Spent ,%s খৰচ হৈছে,%s খরচ হয়েছে,%s खर्च,%s ખર્ચ્યા,%s खर्च,%s खर्च,%s ಖರ್ಚು ಮಾಡಲಾಗಿದೆ,%s ചിലവായി ,%s खर्च केले,%s ఖర్చు చేశారు,%s ଖର୍ଚ୍ଚ ହୋଇଛି,%s ਖ਼ਰਚ ਕੀਤਾ ਗਿਆ,%खर्च ,%s செலவிடப்பட்டது,%s خرچ ہوا,
something_went_wrong,Something went wrong.,কিবা সমস্যা হৈছে,কিছু সমস্যা হয়েছে ,कुछ गलत हो गइल बा।,કંઈક ખોટું થયું.,कुछ गलत हो गया।,कुछ गलत हो गया।,ಏನೋ ತಪ್ಪಾಗಿದೆ.,എന്തോ കുഴപ്പം സംഭവിച്ചു.,काहीतरी चूक झाली.,ఏదో పొరపాటు జరిగింది,କିଛି ଭୁଲ ହୋଇ ଗଲା,ਕੁੱਝ ਗਲਤ ਹੋ ਗਿਆ.,कुछ गलत हो गयो है ,ஏதோ தவறாகிவிட்டது ,کچھ غلط ہو گیا,
retry,Retry,পুনৰ চেষ্টা কৰক,আবার চেষ্টা করুন ,दोबारा कोशिश करीं,ફરી પ્રયાસ કરો,फिर तै कोशिश करो,फिर से प्रयास करें,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ,വീണ്ടും ശ്രമിക്കൂ,पुन्हा प्रयत्न करा,మళ్లీ ప్రయత్నించండి,ପୁଣି ଚେଷ୍ଟା କରନ୍ତୁ,ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ,फेर स्यूं कोशिश करो ,மீண்டும் முயற்சிக்கவும் ,دوبارہ کوشش کریں,
off,Off,অফ কৰক,অফ ,ऑन ,ઓફ,ऑन ,ऑन ,ಆಫ್ ,ഓഫ് ,ऑफ,ఆఫ్​,ଅଫ୍,ਆਫ਼ ,ऑन ,ஆஃப் ,آف,
on,On ,অন কৰক,অন,ऑफ ,ઓન,ऑफ ,ऑफ ,ಆನ್,ഓൺ ,ऑन,ఆన్​,ଅନ୍,ਆਨ ,ऑफ ,ஆன் ,آن,
co_host_not_visible_to_audience,Co-host is not visible to your audience yet. Please click reject if you are uncomfortable with the request.,আপোনাৰ দৰ্শকে এতিয়াও সহ-হোষ্টক দেখা নাই। যদি আপুনি এই ৰিকুৱেষ্টৰ সৈতে অস্বস্তিকৰ অনুভৱ কৰিছে তেন্তে অনুগ্ৰহ কৰি ৰিজেক্টত ক্লিক কৰক,আপনার সহকারি-হোস্টকে এখনও আপনার দর্শকরা দেখতে পাচ্ছেন না। আপনার যদি এই রিক্যুয়েস্টগুলিতে স্বস্তিবোধ না করেন তবে রিজেক্ট অপশনে ক্লিক করুন। ,राउर ऑडियंस के अभी तक को-होस्ट देखाइ ना दिहले बा। अगर रउवा इ रिक्वेस्ट से असहज बानी त कृपया रिजेक्ट पे क्लिक करीं।,તમારી ઓડિયન્સ હજી સુધી કો-હોસ્ટને જોઇ નથી શકતી. જો તમને રિક્વેસ્ટથી તકલીફ હોય તો કૃપા કરીને રિજેક્ટ પર ક્લિક કરો.,थारी ऑडियंस नै ईब तक को-होस्ट दिखाई नहीं दिया सै। अगर थाम इस रिक्वेस्ट तै असहज सो तो कृपया रिजेक्ट पै क्लिक करो।,आपकी ऑडियंस को अभी तक को-होस्ट दिखाई नहीं दिया है। अगर आप इस रिक्वेस्ट से असहज हैं तो कृपया रिजेक्ट पर क्लिक करें।,"ಕೋ-ಹೋಸ್ಟ್ ಇನ್ನೂ ನಿಮ್ಮ ಪ್ರೇಕ್ಷಕರಿಗೆ ಗೋಚರಿಸುವುದಿಲ್ಲ. ಈ ರಿಕ್ವೆಸ್ಟ್ ನಿಂದ ನಿಮಗೆ ಅನಾನುಕೂಲವಾಗಿದ್ದರೆ, ರಿಜೆಕ್ಟ್ ಕ್ಲಿಕ್ ಮಾಡಿ.",കോ-ഹോസ്റ്റ് ഇതുവരെ ജോയിൻ ചെയ്തിട്ടില്ല.  റിക്വസ്റ്റിൽ നിങ്ങൾ  അസ്വസ്ഥനെങ്കിൽ റിജെക്ടിൽ ക്ലിക് ചെയ്യൂ ,को-होस्ट अद्याप तुमच्या प्रेक्षकांसाठी व्हिजिबल नाही. कृपया ही रिक्वेस्ट तुम्हाला योग्य वाटत नसल्यास नकार क्लिक करा.,కో-హోస్ట్ మీ ఆడియన్స్​కు ఇంకా కనిపించలేదు. రిక్వెస్ట్​తో మీకు అసౌకర్యంగా ఉంటే దయచేసి రిజక్ట్​పై క్లిక్ చేయండి.,କୋ-ହୋଷ୍ଟ ଏପର୍ଯ୍ୟନ୍ତ ଆପଣଙ୍କ ଦର୍ଶକଙ୍କୁ ଦେଖାଯାଉ ନାହିଁ। ଯଦି ଆପଣ ଏହି ରିକ୍ବେଷ୍ଟରେ ଅସନ୍ତୁଷ୍ଟ ତେବେ ଦୟାକରି ରିଜେକ୍ଟ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ,ਤੁਹਾਡੀ ਆਡੀਅੰਸ ਨੂੰ ਅਜੇ ਤਕ ਕੋ-ਹੋਸਟ ਦਿਖਾਈ ਨਹੀਂ ਦਿੱਤਾ। ਜੇਕਰ ਤੁਸੀਂ ਇਸ ਰਿਕੁਐਸਟ ਤੋਂ ਅਸੁਵਿਧਾਜਨਕ ਹੋ ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਰਿਜੈਕਟ 'ਤੇ ਕਲਿੱਕ ਕਰੋ।,आपरी ऑडियंस ने अभी तक को-होस्ट दिखाई कोनि दियो है। अगर आप इ रिक्वेस्ट से असहज हो तो कृपया रिजेक्ट पे क्लिक करो।,"இன்னும் உங்கள் பார்வையாளர்களுக்கு கோ-ஹோஸ்ட் தெரியவில்லை. இந்த ரிக்குவஸ்ட் உங்களுக்கு சங்கடமாக இருந்தால், நிராகரி என்பதைக் கிளிக் செய்யவும்.",کو ہوسٹ ابھی تک آپ کے سامعین کو نظر نہیں آیا ہے۔ اگر آپ ریکویسٹ سے ناخوش ہیں تو براہ مہربانی ریجیکٹ پر کلک کریں,
co_host_joined,Co-Host joined,সহ-হোষ্টে জইন কৰিছে,সহকারি-হোস্ট জয়েন করেছেন ,को-होस्ट शामिल हो गइलन,કો-હોસ્ટે જોઇન કર્યું,को-होस्ट शामिल होए,को-होस्ट शामिल हुए,ಕೋ-ಹೋಸ್ಟ್ ಜಾಯಿನ್ ಆದರು ,കോ-ഹോസ്റ്റ് ജോയിൻ ചെയ്തു,को-होस्टने जॉईन केले,కో-హోస్ట్ జాయిన్ అయ్యారు,କୋ-ହୋଷ୍ଟ ଜଏନ କଲେ,ਕੋ-ਹੋਸਟ ਸ਼ਾਮਲ ਹੋਏ,को-होस्ट शामिल हुयो ,கோ-ஹோஸ்ட் இணைந்தார் ,کو ہوسٹ شامل ہو گئے ہیں,
mute_co_host,Mute,মিউট,মিউট ,म्यूट करीं,મ્યૂટ,म्यूट,म्यूट करें,ಮ್ಯೂಟ್,മ്യൂട്ട്,म्यूट,మ్యూట్​,ମ୍ୟୁଟ୍,ਮਿਊਟ ,म्यूट,மியூட் ,میوٹ کریں,
accept_in_seconds,Accept (%1$d)s,এক্সেপ্ট (%1$d)s,অ্যাক্সেপ্ট (%1$d)s,स्वीकार करीं (%1$d)s,(%1$d) સ્વીકારો,स्वीकार करो (%1$d)s,स्वीकार करें (%1$d)s,ಸ್ವೀಕರಿಸಿ (%1$d)s,(%1$d)s സ്വീകരിക്കൂ,(%1$d) स्वीकारा,(%1$d)s ను ఆమోదించండి,(%1$d)sକୁ ଆସେପ୍ଟ କରନ୍ତୁ,ਸਵੀਕਾਰ ਕਰੋ (%1$d) ,स्वीकार करो (%1$d)s,ஏற்றுக்கொள்  (%1$d)s,قبول کریں (%1$d)s,
all_follower_count,%s Followers,%s ফলোৱাৰ,%s ফলোয়ার,%s फॉलोवर्स,%s ફોલોવર્સ,%s फॉलोवर्स,%s फॉलोवर्स,"
%s ಫಾಲೋವರ್ಸ್",%s ഫോളോവേഴ്സ്,%s फॉलोअर्स ,%s ఫాలోవర్లు,%s ଫଲାୟର୍ସ,%s ਫੋਲੋਅਰਸ,%s फॉलोवर्स,%s ஃபாலோவர்ஸ் ,%s فالوورس,
following,Following,ফলোৱিং,ফলোয়িং,फॉलोइंग,ફોલોઇંગ,फॉलोइंग,फॉलोइंग,ಫಾಲೋಯಿಂಗ್,ഫോളോവിങ്,फॉलोईंग,ఫాలోయింగ్​,ଫଲୋଇଙ୍ଗ,ਫੋਲੋਇੰਗ ,फॉलोइंग,ஃபாலோயிங்,فالوئنگ,
follow,Follow,ফলো,ফলো,फॉलो,ફોલો,फॉलो,फॉलो,ಫಾಲೋ,ഫോളോ,फॉलो,ఫాలో,ଫଲୋ କରନ୍ତୁ,ਫੋਲੋ,फॉलो,ஃபாலோ,فالو کریں,
all_no_matches_found,No matches found,মিল থকা কোনো নাই,কোনও মিল নেই ,कवनो मेल ना पावल गइल,કોઈ મેચ ન મળ્યું,कोए मैच नहीं मिला,कोई मेल नहीं खाता,"
ಯಾವುದೇ ಹೊಂದಾಣಿಕೆಗಳಿಲ್ಲ",ചേർച്ചയുള്ളതൊന്നും കണ്ടെത്താനായില്ല ,कोणताही मॅच सापडला नाही ,ఎలాంటి మ్యాచ్​లు కనిపించలేదు,କୌଣସି ମ୍ୟାଚ୍ ମିଳିଲା ନାହିଁ,ਕੋਈ ਮੇਲ ਨਹੀਂ ਮਿਲਿਆ,कोई मेल कोनि हुयो,பொருத்தங்கள் எதுவும் இல்லை,کوئی میچ نہیں ملا,
content_description_cheers,Cheers,চিয়াৰ্চ,উল্লাস ,चियर्स,ચીયર્સ,चियर्स,चियर्स,ಚೀರ್ಸ್,ചിയേഴ്സ്,चिअर्स,చీర్స్​,ଖୁସି,ਚੀਅਰਸ,चियर्स,சியர்ஸ் ,چیئرز,
content_description_profile_image,Profile image,প্ৰ'ফাইল ফটো,প্রোফাইল ফটো ,प्रोफाइल इमेज,પ્રોફાઇલ ઇમેજીસ,प्रोफाइल इमेज,प्रोफाइल इमेज,ಪ್ರೊಫೈಲ್ ಇಮೇಜ್,പ്രൊഫൈൽ ഇമേജ് ,प्रोफाईल इमेज,ప్రొఫైల్ ఇమేజ్​,ପ୍ରୋଫାଇଲ୍ ଇମେଜ୍,ਪ੍ਰੋਫ਼ਾਈਲ ਇਮੇਜ ,प्रोफाइल इमेज,ப்ரொஃபைல் படம் ,پروفائل تصویر,
